"","year.start","year.end","missions.total","missions.catholic","missions.noncatholic","retreats","converts","confessions"
"1","1851",1852,16,16,NA,NA,3,39770
"2","1852",1853,8,8,NA,NA,18,22720
"3","1853",1854,15,15,NA,NA,43,27950
"4","1854",1855,10,10,NA,NA,14,17550
"5","1855",1856,12,12,NA,NA,36,25880
"6","1856",1857,12,12,NA,NA,40,15620
"7","1857",1858,15,15,NA,NA,37,23788
"8","1858",1859,12,12,NA,NA,72,23860
"9","1859",1860,13,13,NA,NA,33,30095
"10","1860",1861,10,10,NA,NA,24,25382
"11","1861",1862,10,10,NA,NA,8,22370
"12","1862",1863,9,9,NA,NA,17,24111
"13","1863",1864,11,11,NA,NA,36,19277
"14","1864",1865,12,12,NA,NA,41,16031
"15","1865",1866,2,2,NA,NA,NA,3321
"16","1866",1867,0,NA,NA,NA,NA,NA
"17","1867",1868,0,NA,NA,NA,NA,NA
"18","1868",1869,0,NA,NA,NA,NA,NA
"19","1869",1870,0,NA,NA,NA,NA,NA
"20","1870",1871,0,NA,NA,NA,NA,NA
"21","1871",1872,4,4,NA,NA,NA,5961
"22","1872",1873,4,12,NA,NA,28,30260
"23","1873",1874,12,18,NA,NA,100,31687
"24","1874",1875,18,21,NA,NA,103,39882
"25","1875",1876,21,11,NA,NA,93,26000
"26","1876",1877,33,33,NA,NA,168,46239
"27","1877",1878,24,24,NA,NA,92,40625
"28","1878",1879,23,23,NA,NA,33,27594
"29","1879",1880,17,17,NA,NA,62,25798
"30","1880",1881,23,23,NA,NA,74,25254
"31","1881",1882,42,42,NA,NA,59,54615
"32","1882",1883,18,18,NA,3,54,37164
"33","1883",1884,34,34,NA,4,70,54685
"34","1884",1885,18,18,NA,4,45,51734
"35","1885",1886,31,31,NA,4,74,70899
"36","1886",1887,47,47,NA,2,109,54036
"37","1887",1888,42,42,NA,NA,29,58403
"38","1888",1889,43,43,NA,1,109,73548
"39","1889",1890,42,42,NA,NA,53,87300
"40","1890",1891,43,43,NA,NA,98,91379
"41","1891",1892,48,48,NA,NA,87,101337
"42","1892",1893,53,53,NA,NA,106,96180
"43","1893",1894,64,64,NA,6,128,93666
"44","1894",1895,52,52,NA,3,137,96576
"45","1895",1896,37,37,NA,2,120,80661
"46","1896",1897,34,34,NA,NA,60,60732
"47","1897",1898,44,44,NA,NA,71,63480
"48","1898",1899,63,63,NA,NA,170,69350
"49","1899",1900,54,54,NA,NA,212,82275
"50","1900",1901,71,71,NA,7,240,75576
"51","1901",1902,85,85,NA,9,270,102215
"52","1902",1903,87,55,32,3,380,88915
"53","1903",1904,69,51,18,2,510,73403
"54","1904",1905,73,58,15,NA,567,80029
"55","1905",1906,69,53,16,NA,540,78192
"56","1906",1907,75,59,16,NA,409,118388
